招生群類別,成績區間,國文,英文,數學,專業一,專業二
06土木與建築群,18.01～19,0,13,0,0,0
06土木與建築群,17.01～18,25,24,0,41,20
06土木與建築群,16.01～17,0,6,0,0,0
06土木與建築群,15.01～16,7,28,59,0,0
06土木與建築群,14.01～15,0,1,0,22,4
06土木與建築群,13.01～14,3,8,0,0,0
06土木與建築群,12.01～13,0,3,0,13,5
06土木與建築群,11.01～12,2,6,36,0,0
06土木與建築群,10.01～11,0,0,0,0,0
06土木與建築群,9.01～10,0,0,0,5,1
06土木與建築群,8.01～9,0,0,0,0,0
06土木與建築群,7.01～8,0,1,10,1,0
06土木與建築群,6.01～7,0,0,0,0,0
06土木與建築群,5.01～6,0,1,0,0,0
06土木與建築群,4.01～5,0,0,0,0,0
06土木與建築群,3.01～4,0,0,3,0,0
06土木與建築群,2.01～3,0,0,0,0,2
06土木與建築群,1.01～2,0,0,0,0,0
06土木與建築群,0.01～1,0,0,0,0,0
06土木與建築群,0,62,68,74,71,80
07設計群,99.01～100,0,2,8,4,1
07設計群,98.01～99,0,2,0,0,2
07設計群,97.01～98,0,5,0,19,5
07設計群,96.01～97,0,9,0,0,2
07設計群,95.01～96,0,7,10,58,12
07設計群,94.01～95,0,20,0,0,22
07設計群,93.01～94,2,10,0,127,6
07設計群,92.01～93,0,23,0,0,14
07設計群,91.01～92,2,18,39,172,31
07設計群,90.01～91,0,32,0,0,32
07設計群,89.01～90,9,22,0,225,22
07設計群,88.01～89,0,40,0,0,14
07設計群,87.01～88,10,39,43,225,46
07設計群,86.01～87,0,45,0,0,57
07設計群,85.01～86,19,36,0,268,44
07設計群,84.01～85,0,47,0,0,36
07設計群,83.01～84,32,39,56,260,52
07設計群,82.01～83,0,55,0,0,55
07設計群,81.01～82,56,60,0,271,35
07設計群,80.01～81,0,45,0,0,48
07設計群,79.01～80,63,49,71,233,63
07設計群,78.01～79,0,42,0,0,81
07設計群,77.01～78,101,76,0,243,59
07設計群,76.01～77,0,45,0,0,47
07設計群,75.01～76,108,66,93,232,68
07設計群,74.01～75,0,34,0,0,91
07設計群,73.01～74,146,74,0,228,65
07設計群,72.01～73,0,52,0,0,67
07設計群,71.01～72,173,75,126,204,73
07設計群,70.01～71,0,48,0,0,94
07設計群,69.01～70,218,90,1,226,75
07設計群,68.01～69,0,63,0,0,79
07設計群,67.01～68,204,92,158,202,69
07設計群,66.01～67,0,40,0,0,86
07設計群,65.01～66,266,92,0,245,43
07設計群,64.01～65,0,35,0,0,71
07設計群,63.01～64,287,111,163,191,70
07設計群,62.01～63,0,47,0,0,75
07設計群,61.01～62,290,84,0,190,76
07設計群,60.01～61,0,61,0,0,77
07設計群,59.01～60,342,91,208,211,69
07設計群,58.01～59,0,45,0,0,70
07設計群,57.01～58,325,115,0,210,83
07設計群,56.01～57,1,63,0,0,82
07設計群,55.01～56,358,113,248,197,84
07設計群,54.01～55,0,62,0,0,73
07設計群,53.01～54,353,109,0,234,103
07設計群,52.01～53,0,65,0,0,87
07設計群,51.01～52,402,101,283,247,99
07設計群,50.01～51,0,63,0,0,71
07設計群,49.01～50,367,120,0,224,83
07設計群,48.01～49,0,53,0,0,125
07設計群,47.01～48,366,118,402,197,92
07設計群,46.01～47,0,53,0,0,62
07設計群,45.01～46,346,109,0,211,98
07設計群,44.01～45,0,72,0,0,142
07設計群,43.01～44,330,116,403,217,92
07設計群,42.01～43,0,78,0,0,59
07設計群,41.01～42,302,105,1,205,92
07設計群,40.01～41,0,79,0,0,209
07設計群,39.01～40,252,101,546,176,105
07設計群,38.01～39,0,74,0,0,54
07設計群,37.01～38,213,134,0,163,93
07設計群,36.01～37,0,74,0,0,210
07設計群,35.01～36,204,141,653,130,110
07設計群,34.01～35,0,91,0,0,47
07設計群,33.01～34,154,156,1,87,69
07設計群,32.01～33,0,73,0,0,186
07設計群,31.01～32,135,169,766,85,120
07設計群,30.01～31,0,104,0,0,55
07設計群,29.01～30,111,191,0,47,71
07設計群,28.01～29,0,84,0,0,201
07設計群,27.01～28,84,205,887,45,139
07設計群,26.01～27,0,110,0,0,42
07設計群,25.01～26,67,260,0,52,47
07設計群,24.01～25,0,100,0,0,193
07設計群,23.01～24,45,243,788,32,121
07設計群,22.01～23,0,89,1,0,26
07設計群,21.01～22,38,266,0,31,40
07設計群,20.01～21,0,46,0,0,168
07設計群,19.01～20,35,232,456,19,133
07設計群,18.01～19,0,31,1,0,19
07設計群,17.01～18,39,155,0,7,21
07設計群,16.01～17,0,21,0,0,128
07設計群,15.01～16,16,80,267,4,140
07設計群,14.01～15,0,12,0,0,16
07設計群,13.01～14,16,50,0,3,11
07設計群,12.01～13,0,2,0,0,89
07設計群,11.01～12,8,22,133,1,104
07設計群,10.01～11,0,0,0,0,11
07設計群,9.01～10,5,9,0,0,17
07設計群,8.01～9,0,0,0,0,44
07設計群,7.01～8,2,3,41,0,54
07設計群,6.01～7,0,0,0,0,5
07設計群,5.01～6,0,0,0,1,7
07設計群,4.01～5,0,0,0,0,33
07設計群,3.01～4,0,0,5,0,55
07設計群,2.01～3,0,0,0,0,1
07設計群,1.01～2,0,0,0,0,3
07設計群,0.01～1,0,0,0,0,5
07設計群,0,384,396,428,427,453
08工程與管理類,99.01～100,0,1,0,0,0
08工程與管理類,98.01～99,0,0,0,0,0
08工程與管理類,97.01～98,0,0,0,0,0
08工程與管理類,96.01～97,0,0,0,0,0
08工程與管理類,95.01～96,0,0,0,0,0
08工程與管理類,94.01～95,0,2,0,0,0
08工程與管理類,93.01～94,0,0,0,0,2
08工程與管理類,92.01～93,0,1,0,0,0
08工程與管理類,91.01～92,0,0,2,0,1
08工程與管理類,90.01～91,0,2,0,0,0
08工程與管理類,89.01～90,0,2,0,0,1
08工程與管理類,88.01～89,0,0,0,0,0
08工程與管理類,87.01～88,0,0,2,0,1
08工程與管理類,86.01～87,0,0,0,0,0
08工程與管理類,85.01～86,1,0,0,0,4
08工程與管理類,84.01～85,0,1,0,0,0
08工程與管理類,83.01～84,1,1,1,0,2
08工程與管理類,82.01～83,0,0,0,0,0
08工程與管理類,81.01～82,0,2,0,0,2
08工程與管理類,80.01～81,0,1,0,0,0
08工程與管理類,79.01～80,1,1,4,0,4
08工程與管理類,78.01～79,0,0,0,0,0
08工程與管理類,77.01～78,0,1,0,0,3
08工程與管理類,76.01～77,0,1,0,0,0
08工程與管理類,75.01～76,1,2,2,0,2
08工程與管理類,74.01～75,0,1,0,0,0
08工程與管理類,73.01～74,3,1,0,0,2
08工程與管理類,72.01～73,0,1,0,0,0
08工程與管理類,71.01～72,4,1,3,0,4
08工程與管理類,70.01～71,0,1,0,0,0
08工程與管理類,69.01～70,1,3,0,1,3
08工程與管理類,68.01～69,0,0,0,0,0
08工程與管理類,67.01～68,5,2,3,0,1
08工程與管理類,66.01～67,0,0,0,0,0
08工程與管理類,65.01～66,4,1,0,1,1
08工程與管理類,64.01～65,0,1,0,0,0
08工程與管理類,63.01～64,4,2,6,2,3
08工程與管理類,62.01～63,0,1,0,0,0
08工程與管理類,61.01～62,2,5,0,3,3
08工程與管理類,60.01～61,0,1,0,0,0
08工程與管理類,59.01～60,2,1,0,3,1
08工程與管理類,58.01～59,0,2,0,0,0
08工程與管理類,57.01～58,5,0,0,2,4
08工程與管理類,56.01～57,0,1,0,0,0
08工程與管理類,55.01～56,3,0,3,1,4
08工程與管理類,54.01～55,0,0,0,0,0
08工程與管理類,53.01～54,4,1,0,3,1
08工程與管理類,52.01～53,0,1,0,0,0
08工程與管理類,51.01～52,2,1,3,3,1
08工程與管理類,50.01～51,0,1,0,0,0
08工程與管理類,49.01～50,1,2,0,1,6
08工程與管理類,48.01～49,0,0,0,0,0
08工程與管理類,47.01～48,3,0,5,7,3
08工程與管理類,46.01～47,0,0,0,0,0
08工程與管理類,45.01～46,6,1,0,3,2
08工程與管理類,44.01～45,0,0,0,0,0
08工程與管理類,43.01～44,2,2,7,1,2
08工程與管理類,42.01～43,0,0,0,0,0
08工程與管理類,41.01～42,1,1,0,5,1
08工程與管理類,40.01～41,0,0,0,0,0
08工程與管理類,39.01～40,3,2,3,5,0
08工程與管理類,38.01～39,0,0,0,0,0
08工程與管理類,37.01～38,1,1,0,1,0
08工程與管理類,36.01～37,0,0,0,0,0
08工程與管理類,35.01～36,2,1,4,5,0
08工程與管理類,34.01～35,0,1,0,0,0
08工程與管理類,33.01～34,3,3,0,1,0
08工程與管理類,32.01～33,0,0,0,0,0
08工程與管理類,31.01～32,0,0,2,2,2
08工程與管理類,30.01～31,0,0,0,0,0
08工程與管理類,29.01～30,1,0,0,2,0
08工程與管理類,28.01～29,0,0,0,0,0
08工程與管理類,27.01～28,1,0,10,4,0
08工程與管理類,26.01～27,0,0,0,0,0
08工程與管理類,25.01～26,0,1,0,3,1
08工程與管理類,24.01～25,0,0,0,0,0
08工程與管理類,23.01～24,0,1,3,3,0
08工程與管理類,22.01～23,0,0,0,0,0
08工程與管理類,21.01～22,0,0,0,2,0
08工程與管理類,20.01～21,0,0,0,0,0
08工程與管理類,19.01～20,1,2,2,1,0
08工程與管理類,18.01～19,0,1,0,0,0
08工程與管理類,17.01～18,0,0,0,2,0
08工程與管理類,16.01～17,0,0,0,0,0
08工程與管理類,15.01～16,0,0,2,0,0
08工程與管理類,14.01～15,0,1,0,0,0
08工程與管理類,13.01～14,0,0,0,0,0
08工程與管理類,12.01～13,0,1,0,0,0
08工程與管理類,11.01～12,0,0,0,0,0
08工程與管理類,10.01～11,0,0,0,0,0
08工程與管理類,9.01～10,0,0,0,0,0
08工程與管理類,8.01～9,0,0,0,0,0
08工程與管理類,7.01～8,0,0,0,0,0
08工程與管理類,6.01～7,0,0,0,0,0
08工程與管理類,5.01～6,0,0,0,0,0
08工程與管理類,4.01～5,0,0,0,0,0
08工程與管理類,3.01～4,0,0,0,0,0
08工程與管理類,2.01～3,0,0,0,0,0
08工程與管理類,1.01～2,0,0,0,0,0
08工程與管理類,0.01～1,0,0,0,0,0
08工程與管理類,0,26,26,27,27,27
09商業與管理群,99.01～100,0,5,91,3,2
09商業與管理群,98.01～99,0,2,0,0,0
09商業與管理群,97.01～98,0,5,0,19,7
09商業與管理群,96.01～97,0,21,0,0,0
09商業與管理群,95.01～96,0,17,111,34,14
09商業與管理群,94.01～95,0,38,0,0,0
09商業與管理群,93.01～94,2,26,0,68,51
09商業與管理群,92.01～93,0,57,0,0,0
09商業與管理群,91.01～92,1,41,188,106,71
09商業與管理群,90.01～91,0,109,0,0,0
09商業與管理群,89.01～90,4,70,0,162,131
09商業與管理群,88.01～89,0,112,0,0,0
09商業與管理群,87.01～88,18,92,253,191,166
09商業與管理群,86.01～87,0,117,1,0,0
09商業與管理群,85.01～86,30,109,0,227,189
09商業與管理群,84.01～85,0,125,0,0,0
09商業與管理群,83.01～84,57,143,326,283,227
09商業與管理群,82.01～83,0,147,0,0,0
09商業與管理群,81.01～82,117,168,0,350,201
09商業與管理群,80.01～81,0,134,0,0,0
09商業與管理群,79.01～80,137,221,361,373,245
09商業與管理群,78.01～79,0,97,0,0,1
09商業與管理群,77.01～78,221,219,0,374,282
09商業與管理群,76.01～77,0,132,0,0,0
09商業與管理群,75.01～76,275,229,385,408,278
09商業與管理群,74.01～75,0,130,0,0,0
09商業與管理群,73.01～74,358,224,0,355,308
09商業與管理群,72.01～73,0,128,0,0,0
09商業與管理群,71.01～72,449,231,482,422,312
09商業與管理群,70.01～71,0,109,0,0,0
09商業與管理群,69.01～70,493,230,0,432,300
09商業與管理群,68.01～69,0,117,0,0,0
09商業與管理群,67.01～68,566,248,500,454,314
09商業與管理群,66.01～67,0,98,0,0,0
09商業與管理群,65.01～66,658,259,0,427,320
09商業與管理群,64.01～65,0,111,0,0,0
09商業與管理群,63.01～64,697,221,552,468,301
09商業與管理群,62.01～63,0,108,1,0,0
09商業與管理群,61.01～62,770,235,0,417,322
09商業與管理群,60.01～61,0,124,0,0,0
09商業與管理群,59.01～60,772,253,604,463,333
09商業與管理群,58.01～59,0,120,0,0,0
09商業與管理群,57.01～58,778,256,0,454,344
09商業與管理群,56.01～57,0,108,0,0,0
09商業與管理群,55.01～56,784,249,650,496,374
09商業與管理群,54.01～55,0,143,0,0,0
09商業與管理群,53.01～54,776,218,0,499,331
09商業與管理群,52.01～53,0,94,0,0,0
09商業與管理群,51.01～52,723,224,683,463,377
09商業與管理群,50.01～51,0,137,0,0,0
09商業與管理群,49.01～50,641,204,0,517,408
09商業與管理群,48.01～49,0,151,0,0,0
09商業與管理群,47.01～48,687,217,802,544,392
09商業與管理群,46.01～47,0,134,0,1,0
09商業與管理群,45.01～46,600,224,0,579,455
09商業與管理群,44.01～45,0,124,0,0,0
09商業與管理群,43.01～44,514,219,884,539,417
09商業與管理群,42.01～43,0,167,0,0,0
09商業與管理群,41.01～42,501,225,0,524,494
09商業與管理群,40.01～41,0,132,0,0,0
09商業與管理群,39.01～40,400,230,976,551,555
09商業與管理群,38.01～39,0,142,0,0,0
09商業與管理群,37.01～38,345,209,0,469,547
09商業與管理群,36.01～37,0,137,0,0,0
09商業與管理群,35.01～36,295,248,1046,434,560
09商業與管理群,34.01～35,0,127,0,0,1
09商業與管理群,33.01～34,216,270,0,333,615
09商業與管理群,32.01～33,0,136,0,0,0
09商業與管理群,31.01～32,201,293,1161,328,641
09商業與管理群,30.01～31,0,156,0,0,0
09商業與管理群,29.01～30,163,290,0,263,545
09商業與管理群,28.01～29,0,145,0,0,0
09商業與管理群,27.01～28,126,374,1261,193,558
09商業與管理群,26.01～27,0,141,0,0,0
09商業與管理群,25.01～26,97,329,0,138,634
09商業與管理群,24.01～25,0,130,0,0,0
09商業與管理群,23.01～24,90,361,1118,146,407
09商業與管理群,22.01～23,0,118,0,0,0
09商業與管理群,21.01～22,75,397,0,99,252
09商業與管理群,20.01～21,0,60,0,0,1
09商業與管理群,19.01～20,69,355,683,61,205
09商業與管理群,18.01～19,0,47,0,0,0
09商業與管理群,17.01～18,62,202,1,37,107
09商業與管理群,16.01～17,0,25,0,0,0
09商業與管理群,15.01～16,27,125,383,17,60
09商業與管理群,14.01～15,0,12,0,0,0
09商業與管理群,13.01～14,24,68,1,13,34
09商業與管理群,12.01～13,0,9,0,0,0
09商業與管理群,11.01～12,12,43,168,5,19
09商業與管理群,10.01～11,0,1,0,0,0
09商業與管理群,9.01～10,6,23,0,2,3
09商業與管理群,8.01～9,0,0,0,0,0
09商業與管理群,7.01～8,0,5,63,0,0
09商業與管理群,6.01～7,0,0,0,0,0
09商業與管理群,5.01～6,2,1,0,0,0
09商業與管理群,4.01～5,0,0,0,0,0
09商業與管理群,3.01～4,0,0,9,0,1
09商業與管理群,2.01～3,0,0,0,0,0
09商業與管理群,1.01～2,1,0,0,0,0
09商業與管理群,0.01～1,0,0,0,0,0
09商業與管理群,0,532,555,628,631,660
10衛生與護理類,99.01～100,0,6,144,0,1
10衛生與護理類,98.01～99,0,14,0,0,0
10衛生與護理類,97.01～98,0,12,0,0,4
10衛生與護理類,96.01～97,0,22,0,0,0
10衛生與護理類,95.01～96,0,14,142,0,18
10衛生與護理類,94.01～95,0,42,0,0,0
10衛生與護理類,93.01～94,2,23,0,1,28
10衛生與護理類,92.01～93,0,45,0,0,0
10衛生與護理類,91.01～92,8,27,97,4,38
10衛生與護理類,90.01～91,0,54,0,0,0
10衛生與護理類,89.01～90,5,28,0,10,51
10衛生與護理類,88.01～89,0,37,0,0,0
10衛生與護理類,87.01～88,14,36,73,15,61
10衛生與護理類,86.01～87,0,31,0,0,0
10衛生與護理類,85.01～86,26,32,0,16,53
10衛生與護理類,84.01～85,0,31,0,0,0
10衛生與護理類,83.01～84,26,37,84,21,51
10衛生與護理類,82.01～83,0,19,0,0,0
10衛生與護理類,81.01～82,50,28,0,21,66
10衛生與護理類,80.01～81,0,19,0,0,0
10衛生與護理類,79.01～80,41,35,72,27,52
10衛生與護理類,78.01～79,0,25,0,0,0
10衛生與護理類,77.01～78,56,24,0,33,49
10衛生與護理類,76.01～77,0,20,0,0,0
10衛生與護理類,75.01～76,57,24,55,31,66
10衛生與護理類,74.01～75,0,8,0,0,0
10衛生與護理類,73.01～74,71,29,0,31,51
10衛生與護理類,72.01～73,0,9,0,0,0
10衛生與護理類,71.01～72,57,26,68,38,61
10衛生與護理類,70.01～71,0,7,0,0,0
10衛生與護理類,69.01～70,75,19,0,31,55
10衛生與護理類,68.01～69,0,6,0,0,0
10衛生與護理類,67.01～68,70,17,65,44,61
10衛生與護理類,66.01～67,0,10,0,0,0
10衛生與護理類,65.01～66,84,18,0,33,57
10衛生與護理類,64.01～65,0,9,0,0,0
10衛生與護理類,63.01～64,65,26,56,42,64
10衛生與護理類,62.01～63,0,10,0,0,0
10衛生與護理類,61.01～62,86,24,0,41,69
10衛生與護理類,60.01～61,0,16,0,0,0
10衛生與護理類,59.01～60,81,19,52,42,58
10衛生與護理類,58.01～59,0,9,0,0,0
10衛生與護理類,57.01～58,71,17,0,39,64
10衛生與護理類,56.01～57,0,8,0,0,0
10衛生與護理類,55.01～56,67,19,47,43,64
10衛生與護理類,54.01～55,1,7,0,0,0
10衛生與護理類,53.01～54,59,18,0,54,64
10衛生與護理類,52.01～53,0,7,0,0,0
10衛生與護理類,51.01～52,62,11,52,45,54
10衛生與護理類,50.01～51,1,16,0,0,0
10衛生與護理類,49.01～50,60,22,0,54,48
10衛生與護理類,48.01～49,0,12,0,0,0
10衛生與護理類,47.01～48,58,15,57,49,47
10衛生與護理類,46.01～47,0,14,0,0,0
10衛生與護理類,45.01～46,48,22,0,43,51
10衛生與護理類,44.01～45,1,15,0,0,0
10衛生與護理類,43.01～44,35,16,57,53,36
10衛生與護理類,42.01～43,0,14,1,0,0
10衛生與護理類,41.01～42,45,14,0,67,32
10衛生與護理類,40.01～41,0,15,0,0,0
10衛生與護理類,39.01～40,36,15,54,87,19
10衛生與護理類,38.01～39,0,8,0,0,0
10衛生與護理類,37.01～38,33,26,0,60,16
10衛生與護理類,36.01～37,0,10,0,0,0
10衛生與護理類,35.01～36,36,15,75,70,14
10衛生與護理類,34.01～35,0,6,0,0,0
10衛生與護理類,33.01～34,20,16,0,73,7
10衛生與護理類,32.01～33,0,10,0,0,0
10衛生與護理類,31.01～32,10,27,73,69,10
10衛生與護理類,30.01～31,0,14,0,0,0
10衛生與護理類,29.01～30,18,24,0,52,5
10衛生與護理類,28.01～29,0,8,0,0,0
10衛生與護理類,27.01～28,8,21,74,65,1
10衛生與護理類,26.01～27,0,7,0,0,0
10衛生與護理類,25.01～26,4,30,0,47,4
10衛生與護理類,24.01～25,0,10,0,0,0
10衛生與護理類,23.01～24,8,25,72,36,1
10衛生與護理類,22.01～23,0,9,0,0,0
10衛生與護理類,21.01～22,3,23,0,24,0
10衛生與護理類,20.01～21,0,3,0,0,0
10衛生與護理類,19.01～20,3,13,37,22,1
10衛生與護理類,18.01～19,0,3,0,0,0
10衛生與護理類,17.01～18,3,12,0,12,0
10衛生與護理類,16.01～17,0,3,0,0,0
10衛生與護理類,15.01～16,1,9,24,2,0
10衛生與護理類,14.01～15,0,0,0,0,0
10衛生與護理類,13.01～14,1,6,0,3,0
10衛生與護理類,12.01～13,0,1,0,0,0
10衛生與護理類,11.01～12,0,1,12,1,0
10衛生與護理類,10.01～11,0,1,0,0,0
10衛生與護理類,9.01～10,0,1,0,0,0
10衛生與護理類,8.01～9,0,0,0,0,0
10衛生與護理類,7.01～8,0,2,8,1,0
10衛生與護理類,6.01～7,0,0,0,0,0
10衛生與護理類,5.01～6,0,0,0,0,0
10衛生與護理類,4.01～5,0,0,0,0,0
10衛生與護理類,3.01～4,0,0,2,0,0
10衛生與護理類,2.01～3,0,0,0,0,0
10衛生與護理類,1.01～2,0,0,0,0,0
10衛生與護理類,0.01～1,0,0,0,0,0
11食品群,99.01～100,0,0,0,0,1
11食品群,98.01～99,0,1,0,0,0
11食品群,97.01～98,0,0,0,2,1
11食品群,96.01～97,0,0,0,0,0
11食品群,95.01～96,0,1,1,6,4
11食品群,94.01～95,0,1,0,0,0
11食品群,93.01～94,0,0,0,5,7
11食品群,92.01～93,0,2,0,0,0
11食品群,91.01～92,0,1,4,12,6
11食品群,90.01～91,0,3,0,0,0
11食品群,89.01～90,0,1,0,9,9
11食品群,88.01～89,0,1,0,0,0
11食品群,87.01～88,0,1,6,14,7
11食品群,86.01～87,0,1,0,0,0
11食品群,85.01～86,0,4,0,23,9
11食品群,84.01～85,0,3,0,0,0
11食品群,83.01～84,3,2,7,14,12
11食品群,82.01～83,0,3,0,0,0
11食品群,81.01～82,1,3,0,17,15
11食品群,80.01～81,0,4,0,0,0
11食品群,79.01～80,2,11,10,18,8
11食品群,78.01～79,0,7,0,0,0
11食品群,77.01～78,8,5,0,30,11
11食品群,76.01～77,0,3,0,0,0
11食品群,75.01～76,10,7,13,21,15
11食品群,74.01～75,0,2,0,0,0
11食品群,73.01～74,18,9,0,27,13
11食品群,72.01～73,0,4,0,0,0
11食品群,71.01～72,23,13,15,20,13
11食品群,70.01～71,0,4,0,0,0
11食品群,69.01～70,25,12,0,31,13
11食品群,68.01～69,0,9,0,0,0
11食品群,67.01～68,34,13,21,24,14
11食品群,66.01～67,0,8,0,0,0
11食品群,65.01～66,31,12,0,26,12
11食品群,64.01～65,0,3,0,0,0
11食品群,63.01～64,33,11,33,35,17
11食品群,62.01～63,0,4,0,0,0
11食品群,61.01～62,48,9,0,27,19
11食品群,60.01～61,0,3,0,0,0
11食品群,59.01～60,39,10,24,27,14
11食品群,58.01～59,0,5,0,0,0
11食品群,57.01～58,43,14,0,36,14
11食品群,56.01～57,0,6,0,0,0
11食品群,55.01～56,56,18,38,36,14
11食品群,54.01～55,0,4,0,0,0
11食品群,53.01～54,58,16,0,44,21
11食品群,52.01～53,0,6,0,0,0
11食品群,51.01～52,41,9,34,24,32
11食品群,50.01～51,0,5,0,0,0
11食品群,49.01～50,64,12,0,53,27
11食品群,48.01～49,0,7,0,0,0
11食品群,47.01～48,57,8,44,45,31
11食品群,46.01～47,0,15,0,0,0
11食品群,45.01～46,54,15,0,45,36
11食品群,44.01～45,0,13,0,0,0
11食品群,43.01～44,63,14,59,58,32
11食品群,42.01～43,0,12,0,0,0
11食品群,41.01～42,50,17,0,49,32
11食品群,40.01～41,0,13,0,0,0
11食品群,39.01～40,45,21,75,50,39
11食品群,38.01～39,0,13,0,0,0
11食品群,37.01～38,56,17,0,56,49
11食品群,36.01～37,0,7,0,0,0
11食品群,35.01～36,44,23,107,50,55
11食品群,34.01～35,0,17,0,0,0
11食品群,33.01～34,37,31,0,37,60
11食品群,32.01～33,0,12,0,0,0
11食品群,31.01～32,34,33,123,31,78
11食品群,30.01～31,0,13,0,0,0
11食品群,29.01～30,26,32,0,22,61
11食品群,28.01～29,0,13,0,0,0
11食品群,27.01～28,22,47,166,20,60
11食品群,26.01～27,0,26,0,0,0
11食品群,25.01～26,15,66,0,23,59
11食品群,24.01～25,0,17,0,0,0
11食品群,23.01～24,21,66,156,13,65
11食品群,22.01～23,0,16,0,0,0
11食品群,21.01～22,16,67,0,12,45
11食品群,20.01～21,0,12,0,0,0
11食品群,19.01～20,17,57,81,9,33
11食品群,18.01～19,0,5,0,0,0
11食品群,17.01～18,11,33,0,5,22
11食品群,16.01～17,0,3,0,0,0
11食品群,15.01～16,6,36,63,1,12
11食品群,14.01～15,0,4,0,0,0
11食品群,13.01～14,4,19,0,1,4
11食品群,12.01～13,0,0,0,0,0
11食品群,11.01～12,1,7,21,0,1
11食品群,10.01～11,0,0,0,0,0
11食品群,9.01～10,1,3,0,1,2
11食品群,8.01～9,0,0,0,0,0
11食品群,7.01～8,0,0,6,0,0
11食品群,6.01～7,0,0,0,0,0
11食品群,5.01～6,0,0,0,0,0
11食品群,4.01～5,0,0,0,0,0
11食品群,3.01～4,0,0,2,0,0
11食品群,2.01～3,0,0,0,0,0
11食品群,1.01～2,0,0,0,0,1
11食品群,0.01～1,0,0,0,0,0
11食品群,0,39,40,47,47,51
12家政群幼保類,99.01～100,0,0,6,0,0
12家政群幼保類,98.01～99,0,0,0,0,0
12家政群幼保類,97.01～98,0,0,0,0,1
12家政群幼保類,96.01～97,0,0,0,0,0
12家政群幼保類,95.01～96,0,0,3,0,9
12家政群幼保類,94.01～95,0,0,0,0,0
12家政群幼保類,93.01～94,0,1,0,0,15
12家政群幼保類,92.01～93,0,0,0,0,0
12家政群幼保類,91.01～92,0,0,7,0,13
12家政群幼保類,90.01～91,0,1,0,0,0
12家政群幼保類,89.01～90,0,1,0,1,28
12家政群幼保類,88.01～89,0,3,0,0,0
12家政群幼保類,87.01～88,2,1,14,6,29
12家政群幼保類,86.01～87,0,2,0,0,0
12家政群幼保類,85.01～86,2,4,0,12,36
12家政群幼保類,84.01～85,0,6,0,0,0
12家政群幼保類,83.01～84,1,3,12,7,43
12家政群幼保類,82.01～83,0,2,0,0,0
12家政群幼保類,81.01～82,2,7,0,24,37
12家政群幼保類,80.01～81,0,1,0,0,0
12家政群幼保類,79.01～80,5,3,25,30,37
12家政群幼保類,78.01～79,0,1,0,0,0
12家政群幼保類,77.01～78,11,4,0,39,48
12家政群幼保類,76.01～77,0,6,0,0,0
12家政群幼保類,75.01～76,9,3,22,51,48
12家政群幼保類,74.01～75,0,5,0,0,0
12家政群幼保類,73.01～74,10,2,0,61,34
12家政群幼保類,72.01～73,0,6,0,0,0
12家政群幼保類,71.01～72,16,10,27,58,43
12家政群幼保類,70.01～71,0,5,0,0,0
12家政群幼保類,69.01～70,18,11,0,69,51
12家政群幼保類,68.01～69,0,4,0,0,0
12家政群幼保類,67.01～68,26,7,21,52,57
12家政群幼保類,66.01～67,0,6,0,0,0
12家政群幼保類,65.01～66,37,10,0,85,62
12家政群幼保類,64.01～65,0,6,0,0,0
12家政群幼保類,63.01～64,39,15,31,70,48
12家政群幼保類,62.01～63,0,7,0,0,0
12家政群幼保類,61.01～62,35,6,0,83,52
12家政群幼保類,60.01～61,0,2,0,0,0
12家政群幼保類,59.01～60,54,11,38,82,55
12家政群幼保類,58.01～59,0,1,0,0,0
12家政群幼保類,57.01～58,58,11,0,57,49
12家政群幼保類,56.01～57,0,10,0,0,0
12家政群幼保類,55.01～56,64,21,50,86,52
12家政群幼保類,54.01～55,0,12,0,0,0
12家政群幼保類,53.01～54,72,31,0,89,47
12家政群幼保類,52.01～53,0,6,0,0,0
12家政群幼保類,51.01～52,67,18,52,80,65
12家政群幼保類,50.01～51,0,9,0,0,0
12家政群幼保類,49.01～50,82,20,0,64,58
12家政群幼保類,48.01～49,0,10,0,0,0
12家政群幼保類,47.01～48,89,19,71,62,49
12家政群幼保類,46.01～47,0,15,0,0,0
12家政群幼保類,45.01～46,87,13,0,47,52
12家政群幼保類,44.01～45,0,13,0,0,0
12家政群幼保類,43.01～44,91,30,72,44,66
12家政群幼保類,42.01～43,0,12,0,0,0
12家政群幼保類,41.01～42,99,22,0,55,52
12家政群幼保類,40.01～41,0,14,0,0,0
12家政群幼保類,39.01～40,95,31,73,45,46
12家政群幼保類,38.01～39,0,18,0,0,1
12家政群幼保類,37.01～38,88,37,0,32,52
12家政群幼保類,36.01～37,0,17,0,0,0
12家政群幼保類,35.01～36,80,36,120,24,42
12家政群幼保類,34.01～35,0,25,0,0,0
12家政群幼保類,33.01～34,60,45,0,25,42
12家政群幼保類,32.01～33,0,30,0,0,0
12家政群幼保類,31.01～32,61,48,172,24,22
12家政群幼保類,30.01～31,0,22,0,0,0
12家政群幼保類,29.01～30,38,40,0,22,30
12家政群幼保類,28.01～29,0,28,0,0,0
12家政群幼保類,27.01～28,34,71,187,20,20
12家政群幼保類,26.01～27,0,28,0,0,0
12家政群幼保類,25.01～26,25,94,0,7,18
12家政群幼保類,24.01～25,0,37,0,0,0
